stock,name,arch,fusion_strategy,test_rmse,test_mae,test_mape,test_r2,test_dir_acc,best_val_loss,epochs_trained,n_features,n_train_windows,n_test_windows
ACI,Advanced Chemical Industries,MultimodalLSTMEarly,early,0.0133398798645831,0.010446861323104,136.28775739381342,-0.0144305657477952,48.76140808344198,0.0001491277612448,9,34,2916,767
BANKASIA,Bank Asia Ltd,MultimodalLSTMEarly,early,0.0165081570711791,0.012740807227575,106.930674642689,-0.0005930204013742,49.54367666232073,0.0002134553093108,13,34,2916,767
BATBC,British American Tobacco Bangladesh,MultimodalLSTMEarly,early,0.017551431297425,0.0136997279045616,151.8673295115603,-0.0254242783292997,49.934810951760106,0.0003852128536428,8,34,2916,767
BEXIMCO,Beximco Ltd,MultimodalLSTMEarly,early,0.0251280384991846,0.0201127043901661,109.80182265533044,-0.0009941220419573,53.71577574967405,0.0005312978314292,10,34,2916,767
BEXPHARMA,Beximco Pharmaceuticals,MultimodalLSTMEarly,early,0.0207752576821545,0.0167479738619757,107.47594854917035,-0.0085553960088271,47.06649282920469,0.0003752478642597,13,34,2916,767
BRACBANK,BRAC Bank Ltd,MultimodalLSTMEarly,early,0.0196518817335147,0.0155273043837263,107.72750441011026,-0.000627576263956,51.62972620599739,0.0003742164539343,11,34,2916,767
BSCCL,Bangladesh Submarine Cable,MultimodalLSTMEarly,early,0.0185339139893153,0.0144477667770278,112.21875432555392,-0.0084996341904937,50.97783572359843,0.0002864697089803,10,34,2916,767
CUSTOMERS,Customer Care Bangladesh,MultimodalLSTMEarly,early,0.0221651071992341,0.0172016717247138,155.098315846307,-0.0325621760098331,50.97783572359843,0.0003907715876387,11,34,2916,767
DBBL,Dutch-Bangla Bank,MultimodalLSTMEarly,early,0.0137599156751057,0.0106688703418884,116.8537311773212,-0.0248099947250941,46.544980443285525,0.0001653394959003,18,34,2916,767
DSEX,DSE Broad Index,MultimodalLSTMEarly,early,0.0105518097925968,0.0084938554022066,117.71045074101444,-0.0159311362168357,45.241199478487616,0.0001206405036519,22,34,2916,767
DUTCHBANGL,Dutch-Bangla Bank,MultimodalLSTMEarly,early,0.0122785473404933,0.0095765873073252,105.01386137363323,-0.0055012655605406,49.67405475880052,0.0001172966523975,11,34,2916,767
EBL,Eastern Bank Ltd,MultimodalLSTMEarly,early,0.0240936012990465,0.0189739624328997,100.0017928048692,-0.0001054926020145,49.02216427640156,0.0006378507391958,17,34,2916,767
GP,Grameenphone Ltd,MultimodalLSTMEarly,early,0.021252992496628,0.0168383475801582,117.17247676385584,-0.0032507911269386,49.15254237288136,0.000607456501386,10,34,2916,767
HEIDELBCEM,Heidelberg Cement,MultimodalLSTMEarly,early,0.0192482950643675,0.0152771480529493,113.6876843458348,-0.0079068645868267,48.37027379400261,0.0003379317895316,20,34,2916,767
ISLAMI BANK,Islami Bank Bangladesh,MultimodalLSTMEarly,early,0.0290512355471003,0.0236246281856248,100.37086591469102,-0.000868442745165,50.717079530638856,0.0007362343221421,16,34,2916,767
JAMUNAOIL,Jamuna Oil Company,MultimodalLSTMEarly,early,0.0145718176325491,0.0113520355920665,116.89283005552026,-0.0015539238590995,51.62972620599739,0.000196088195329,19,34,2916,767
LAFARGECEM,LafargeHolcim Bangladesh,MultimodalLSTMEarly,early,0.0183438678275362,0.0145509556518163,111.70384623948271,-6.589570562298697e-05,52.02086049543677,0.0003625305316443,21,34,2916,767
MARICO,Marico Bangladesh,MultimodalLSTMEarly,early,0.0267097995191201,0.0210158551793727,141.29110092423142,-0.0202214708905335,48.5006518904824,0.0008629555904179,14,34,2916,767
MUTUALTRUST,Mutual Trust Bank,MultimodalLSTMEarly,early,0.0174385350254506,0.0136184578886411,100.21089845616338,-0.0001946104162675,51.10821382007823,0.0002525329863269,30,34,2916,767
NCCBANK,NCC Bank,MultimodalLSTMEarly,early,0.0186870042845679,0.0144670617400954,104.64223426785134,0.0010496900271592,49.80443285528031,0.0002381936113248,9,34,2916,767
POWERGRID,Power Grid Company,MultimodalLSTMEarly,early,0.0279114053629742,0.021632259839052,118.6512451668318,-0.0059621065356909,48.89178617992177,0.0009395554425483,17,34,2916,767
PRIMEBANK,Prime Bank,MultimodalLSTMEarly,early,0.0126104634143597,0.0095561859908399,114.29983572872462,-0.0042026798498795,50.45632333767927,0.0001063639166738,15,34,2916,767
RENATA,Renata Ltd,MultimodalLSTMEarly,early,0.017716961049599,0.0141571735752639,111.50174561169348,-0.0041257837828116,46.28422425032595,0.0002792112484601,11,34,2916,767
ROBI,Robi Axiata,MultimodalLSTMEarly,early,0.028524413404604,0.0225378451626423,119.5257410688568,-0.0084970226047775,51.23859191655802,0.0009232748366851,9,34,2916,767
SIBL,Social Islami Bank,MultimodalLSTMEarly,early,0.0226635568267163,0.0178794707224457,119.222666835994,-0.0019934364575804,52.9335071707953,0.0005945847058287,11,34,2916,767
SQURPHARMA,Square Pharmaceuticals,MultimodalLSTMEarly,early,0.0154460834311785,0.0122991393041266,115.5955032672034,0.0017922265928665,51.10821382007823,0.000187605549141,15,34,2916,767
SUMITPOWER,Summit Power,MultimodalLSTMEarly,early,0.030003982635538,0.0236007809166409,116.64178621501048,-0.0216607779297612,49.934810951760106,0.0010062418182163,14,34,2916,767
